t,v
0,0
3.15,0.317460317460317
4.16,1.98019801980198
5.23,0.934579439252336
6.15,0.869565217391305
7.07,1.6304347826087
7.23,1.24999999999999
8.14,1.0989010989011
9.08,1.38297872340426
10.05,1.44329896907216
10.23,1.66666666666667
11.17,1.06382978723404
12.18,0.99009900990099
13.13,1.05263157894737
14.11,1.02040816326531
15.06,1.05263157894737
16.03,1.03092783505155
16.23,1.50000000000001
17.29,1.60377358490566
18.2,1.0989010989011
19.21,0.990099009900989
20.15,1.06382978723405
21.11,1.04166666666667
22.07,1.04166666666667
23.07,1
